N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,T8,T13
1182.3,1244.2,625.8,551.7,2108.8,1063.5,,545.7,1842.3,,1010.5,567.1,1127.4,,2099.3,528.4
1187.1,522.7,1061.6,1006.2,581.4,285.7,,1327.7,1096.4,,1925,1575.7,548.9,,1239.1,898.8
1146,560.4,1504.2,1221.5,1950,1929.9,,619.3,348.5,,774.6,601.5,1251.9,,1069.2,637.5
1142.5,572.4,777.5,1015.7,672.1,1513.9,,871,1299.9,,1190.5,535.1,520.4,,834.7,260
1082.8,1586.2,1324,1094,1196.1,1302.6,,508.7,1084.2,,677.1,1085.4,1101.5,,587.5,1267.9
284.6,,1374,1019.2,1920.7,1179.8,,1128,1169.6,,1220.1,1016.8,1199.9,,305.7,553.2
563.3,,1138.5,650.2,1231.8,675.7,,1134.6,1192.4,,676.1,1977.5,801.8,,1083.1,2759.3
516.3,,1172.2,722,621.5,1040.6,,624.1,1353.7,,2144.9,632.6,1110.4,,1071.1,276.2
1366.4,,1626.6,515.8,1111.6,511.9,,583.9,2044,,1141.7,1025.5,1066.9,,279.8,525.7
1041.8,,531.8,970.6,1589.4,529.5,,1916.7,1102.7,,1789.1,1112.4,1552.4,,545,1166.5
1016.8,,1065.6,1026.8,1798.8,1026.6,,1077.8,1903.9,,561,283.2,1019.8,,542,1046
743,,1007.7,1930.9,1995.4,563.4,,1205,831,,565.7,1013.9,1783.7,,796.6,1305.5
577.2,,963.8,930.7,1142.1,1302.4,,261.8,1311.8,,1087.8,485.5,969,,3017.4,1097.6
1110.6,,644.2,529.2,1223.8,2858.8,,1064.8,1916.6,,608.6,1834.3,1913.8,,2261.8,930.5
,,1865.9,1138.9,554.5,1223.4,,1168.1,1977,,623.9,920.7,1848.9,,575.5,542.6
,,,,,,,,,,,,,,,409.4
,,,,,,,,,,,,,,,703.6
,,,,,,,,,,,,,,,521
,,,,,,,,,,,,,,,1906.7
,,,,,,,,,,,,,,,1002.5
,,,,,,,,,,,,,,,1215.5
